16:24:48  |  Core  |  Info  |  Load ini file 'openmw_layers.xml'  |  /home/openmwbuild/deps/mygui/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  114
16:24:48  |  Core  |  Info  |  Load ini file 'openmw_pointer.xml'  |  /home/openmwbuild/deps/mygui/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  114
16:24:48  |  Core  |  Info  |  Load ini file 'openmw_settings.xml'  |  /home/openmwbuild/deps/mygui/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  114
16:24:48  |  Core  |  Info  |  Load ini file 'openmw_lua.xml'  |  /home/openmwbuild/deps/mygui/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  114
16:51:42  |  Core  |  Info  |  * Shutdown: Gui  |  /home/openmwbuild/deps/mygui/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_Gui.cpp  |  125
16:51:42  |  Core  |  Info  |  * Shutdown: PointerManager  |  /home/openmwbuild/deps/mygui/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_PointerManager.cpp  |  69
16:51:42  |  Core  |  Info  |  PointerManager successfully shutdown  |  /home/openmwbuild/deps/mygui/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_PointerManager.cpp  |  86
16:51:42  |  Core  |  Info  |  * Shutdown: InputManager  |  /home/openmwbuild/deps/mygui/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_InputManager.cpp  |  73
16:51:42  |  Core  |  Info  |  InputManager successfully shutdown  |  /home/openmwbuild/deps/mygui/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_InputManager.cpp  |  78
16:51:42  |  Core  |  Info  |  * Shutdown: SkinManager  |  /home/openmwbuild/deps/mygui/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_SkinManager.cpp  |  53
16:51:42  |  Core  |  Info  |  SkinManager successfully shutdown  |  /home/openmwbuild/deps/mygui/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_SkinManager.cpp  |  60
16:51:42  |  Core  |  Info  |  * Shutdown: SubWidgetManager  |  /home/openmwbuild/deps/mygui/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_SubWidgetManager.cpp  |  63
16:51:42  |  Core  |  Info  |  SubWidgetManager successfully shutdown  |  /home/openmwbuild/deps/mygui/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_SubWidgetManager.cpp  |  83
16:51:42  |  Core  |  Info  |  * Shutdown: LayerManager  |  /home/openmwbuild/deps/mygui/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_LayerManager.cpp  |  48
16:51:42  |  Core  |  Info  |  destroy layer 'Scene'  |  /home/openmwbuild/deps/mygui/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_LayerManager.cpp  |  208
16:51:42  |  Core  |  Info  |  destroy layer 'FadeToBlack'  |  /home/openmwbuild/deps/mygui/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_LayerManager.cpp  |  208
16:51:42  |  Core  |  Info  |  destroy layer 'HitOverlay'  |  /home/openmwbuild/deps/mygui/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_LayerManager.cpp  |  208
16:51:42  |  Core  |  Info  |  destroy layer 'HUD'  |  /home/openmwbuild/deps/mygui/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_LayerManager.cpp  |  208
16:51:42  |  Core  |  Info  |  destroy layer 'JournalBooks'  |  /home/openmwbuild/deps/mygui/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_LayerManager.cpp  |  208
16:51:42  |  Core  |  Info  |  destroy layer 'Windows'  |  /home/openmwbuild/deps/mygui/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_LayerManager.cpp  |  208
16:51:42  |  Core  |  Info  |  destroy layer 'DragAndDrop'  |  /home/openmwbuild/deps/mygui/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_LayerManager.cpp  |  208
16:51:42  |  Core  |  Info  |  destroy layer 'DrowningBar'  |  /home/openmwbuild/deps/mygui/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_LayerManager.cpp  |  208
16:51:42  |  Core  |  Info  |  destroy layer 'MainMenuBackground'  |  /home/openmwbuild/deps/mygui/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_LayerManager.cpp  |  208
16:51:42  |  Core  |  Info  |  destroy layer 'MainMenu'  |  /home/openmwbuild/deps/mygui/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_LayerManager.cpp  |  208
16:51:42  |  Core  |  Info  |  destroy layer 'LoadingScreenBackground'  |  /home/openmwbuild/deps/mygui/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_LayerManager.cpp  |  208
16:51:42  |  Core  |  Info  |  destroy layer 'LoadingScreen'  |  /home/openmwbuild/deps/mygui/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_LayerManager.cpp  |  208
16:51:42  |  Core  |  Info  |  destroy layer 'Debug'  |  /home/openmwbuild/deps/mygui/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_LayerManager.cpp  |  208
16:51:42  |  Core  |  Info  |  destroy layer 'Console'  |  /home/openmwbuild/deps/mygui/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_LayerManager.cpp  |  208
16:51:42  |  Core  |  Info  |  destroy layer 'Modal'  |  /home/openmwbuild/deps/mygui/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_LayerManager.cpp  |  208
16:51:42  |  Core  |  Info  |  destroy layer 'Popup'  |  /home/openmwbuild/deps/mygui/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_LayerManager.cpp  |  208
16:51:42  |  Core  |  Info  |  destroy layer 'Notification'  |  /home/openmwbuild/deps/mygui/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_LayerManager.cpp  |  208
16:51:42  |  Core  |  Info  |  destroy layer 'Video'  |  /home/openmwbuild/deps/mygui/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_LayerManager.cpp  |  208
16:51:42  |  Core  |  Info  |  destroy layer 'InputBlocker'  |  /home/openmwbuild/deps/mygui/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_LayerManager.cpp  |  208
16:51:42  |  Core  |  Info  |  destroy layer 'Pointer'  |  /home/openmwbuild/deps/mygui/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_LayerManager.cpp  |  208
16:51:42  |  Core  |  Info  |  LayerManager successfully shutdown  |  /home/openmwbuild/deps/mygui/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_LayerManager.cpp  |  59
16:51:42  |  Core  |  Info  |  * Shutdown: FontManager  |  /home/openmwbuild/deps/mygui/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_FontManager.cpp  |  49
16:51:42  |  Core  |  Info  |  FontManager successfully shutdown  |  /home/openmwbuild/deps/mygui/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_FontManager.cpp  |  57
16:51:42  |  Core  |  Info  |  * Shutdown: ControllerManager  |  /home/openmwbuild/deps/mygui/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_ControllerManager.cpp  |  49
16:51:42  |  Core  |  Info  |  ControllerManager successfully shutdown  |  /home/openmwbuild/deps/mygui/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_ControllerManager.cpp  |  59
16:51:42  |  Core  |  Info  |  * Shutdown: ClipboardManager  |  /home/openmwbuild/deps/mygui/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_ClipboardManager.cpp  |  46
16:51:42  |  Core  |  Info  |  ClipboardManager successfully shutdown  |  /home/openmwbuild/deps/mygui/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_ClipboardManager.cpp  |  54
16:51:42  |  Core  |  Info  |  * Shutdown: LayoutManager  |  /home/openmwbuild/deps/mygui/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_LayoutManager.cpp  |  42
16:51:42  |  Core  |  Info  |  LayoutManager successfully shutdown  |  /home/openmwbuild/deps/mygui/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_LayoutManager.cpp  |  49
16:51:42  |  Core  |  Info  |  * Shutdown: PluginManager  |  /home/openmwbuild/deps/mygui/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_PluginManager.cpp  |  40
16:51:42  |  Core  |  Info  |  PluginManager successfully shutdown  |  /home/openmwbuild/deps/mygui/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_PluginManager.cpp  |  45
16:51:42  |  Core  |  Info  |  * Shutdown: DynLibManager  |  /home/openmwbuild/deps/mygui/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_DynLibManager.cpp  |  37
16:51:42  |  Core  |  Info  |  DynLibManager successfully shutdown  |  /home/openmwbuild/deps/mygui/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_DynLibManager.cpp  |  44
16:51:42  |  Core  |  Info  |  * Shutdown: LanguageManager  |  /home/openmwbuild/deps/mygui/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_LanguageManager.cpp  |  41
16:51:42  |  Core  |  Info  |  LanguageManager successfully shutdown  |  /home/openmwbuild/deps/mygui/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_LanguageManager.cpp  |  45
16:51:42  |  Core  |  Info  |  * Shutdown: ResourceManager  |  /home/openmwbuild/deps/mygui/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  47
16:51:42  |  Core  |  Info  |  ResourceManager successfully shutdown  |  /home/openmwbuild/deps/mygui/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  57
16:51:42  |  Core  |  Info  |  * Shutdown: FactoryManager  |  /home/openmwbuild/deps/mygui/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_FactoryManager.cpp  |  34
16:51:42  |  Core  |  Info  |  FactoryManager successfully shutdown  |  /home/openmwbuild/deps/mygui/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_FactoryManager.cpp  |  36
16:51:42  |  Core  |  Info  |  * Shutdown: ToolTipManager  |  /home/openmwbuild/deps/mygui/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_ToolTipManager.cpp  |  52
16:51:42  |  Core  |  Info  |  ToolTipManager successfully shutdown  |  /home/openmwbuild/deps/mygui/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_ToolTipManager.cpp  |  57
16:51:42  |  Core  |  Info  |  * Shutdown: WidgetManager  |  /home/openmwbuild/deps/mygui/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_WidgetManager.cpp  |  91
16:51:43  |  Core  |  Info  |  WidgetManager successfully shutdown  |  /home/openmwbuild/deps/mygui/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_WidgetManager.cpp  |  100
16:51:43  |  Core  |  Info  |  Gui successfully shutdown  |  /home/openmwbuild/deps/mygui/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_Gui.cpp  |  171
16:51:43  |  Platform  |  Info  |  * Shutdown: RenderManager  |  /home/openmwbuild/openmw/components/myguiplatform/myguirendermanager.cpp  |  377
16:51:43  |  Platform  |  Info  |  RenderManager successfully shutdown  |  /home/openmwbuild/openmw/components/myguiplatform/myguirendermanager.cpp  |  385
